"","Open","High","Low","Close","Volume","Adjusted","Date"
"1","6.13","6.22","6.11","6.19","4017600","5.22","2012-01-02"
"2","6.13","6.22","6.11","6.19","4017600","5.22","2012-01-03"
"3","6.22","6.3","6.19","6.22","5663600","5.24","2012-01-04"
"4","6.18","6.26","6.1","6.14","5630400","5.18","2012-01-05"
"5","6.16","6.26","6.14","6.21","4900400","5.24","2012-01-06"
"6","6.23","6.37","6.21","6.33","4477300","5.34","2012-01-09"
"7","6.35","6.48","6.31","6.46","7500900","5.45","2012-01-10"
"8","6.43","6.47","6.37","6.38","4426600","5.38","2012-01-11"
"9","6.35","6.44","6.35","6.38","2181500","5.38","2012-01-12"
"10","6.39","6.4","6.25","6.3","3540200","5.31","2012-01-13"
"11","6.26","6.36","6.23","6.31","3099900","5.32","2012-01-16"
"12","6.32","6.52","6.26","6.51","5754900","5.49","2012-01-17"
"13","6.5","6.54","6.43","6.46","4295000","5.45","2012-01-18"
"14","6.46","6.57","6.41","6.54","4943600","5.51","2012-01-19"
"15","6.54","6.64","6.51","6.57","4746400","5.54","2012-01-20"
"16","6.57","6.57","6.57","6.57","0","5.54","2012-01-23"
"17","6.57","6.57","6.57","6.57","0","5.54","2012-01-24"
"18","6.57","6.57","6.57","6.57","0","5.54","2012-01-25"
"19","6.57","6.57","6.57","6.57","0","5.54","2012-01-26"
"20","6.57","6.57","6.57","6.57","0","5.54","2012-01-27"
"21","6.58","6.59","6.49","6.51","3705300","5.49","2012-01-30"
"22","6.51","6.52","6.42","6.46","2294200","5.45","2012-01-31"
"23","6.45","6.49","6.38","6.4","1378100","5.4","2012-02-01"
"24","6.4","6.52","6.38","6.5","2999600","5.48","2012-02-02"
"25","6.48","6.6","6.44","6.55","4822800","5.52","2012-02-03"
"26","6.54","6.57","6.52","6.56","2228800","5.53","2012-02-06"
"27","6.53","6.54","6.42","6.43","1678100","5.42","2012-02-07"
"28","6.43","6.57","6.42","6.56","2747200","5.53","2012-02-08"
"29","6.56","6.58","6.53","6.55","2271700","5.52","2012-02-09"
"30","6.55","6.59","6.51","6.56","2902800","5.53","2012-02-10"
"31","6.53","6.61","6.51","6.53","3267700","5.51","2012-02-13"
"32","6.54","6.57","6.5","6.53","2215400","5.51","2012-02-14"
"33","6.53","6.66","6.51","6.64","4554800","5.6","2012-02-15"
"34","6.63","6.66","6.57","6.62","2392800","5.58","2012-02-16"
"35","6.65","6.65","6.57","6.58","2691500","5.55","2012-02-17"
"36","6.63","6.64","6.57","6.59","3543400","5.56","2012-02-20"
"37","6.58","6.62","6.54","6.62","2166300","5.58","2012-02-21"
"38","6.64","6.71","6.59","6.7","4662700","5.65","2012-02-22"
"39","6.69","6.74","6.66","6.7","3078100","5.65","2012-02-23"
"40","6.7","6.82","6.68","6.8","7499500","5.73","2012-02-24"
"41","6.82","6.95","6.79","6.84","10977500","5.77","2012-02-27"
"42","6.81","6.86","6.76","6.81","4399700","5.74","2012-02-28"
"43","6.82","6.87","6.77","6.77","3570300","5.71","2012-02-29"
"44","6.75","6.81","6.74","6.78","2513000","5.72","2012-03-01"
"45","6.77","6.88","6.77","6.86","4068500","5.78","2012-03-02"
"46","6.87","6.9","6.81","6.83","3508000","5.76","2012-03-05"
"47","6.83","6.84","6.73","6.75","3095700","5.69","2012-03-06"
"48","6.7","6.75","6.67","6.72","2275600","5.67","2012-03-07"
"49","6.73","6.82","6.71","6.77","3438400","5.71","2012-03-08"
"50","6.78","6.86","6.76","6.84","3443000","5.77","2012-03-09"
"51","6.86","6.88","6.78","6.83","3338600","5.76","2012-03-12"
"52","6.83","6.91","6.8","6.9","3981000","5.82","2012-03-13"
"53","6.92","6.94","6.64","6.71","6300500","5.66","2012-03-14"
"54","6.8","6.84","6.73","6.74","7473100","5.68","2012-03-15"
"55","6.77","7.05","6.75","7","10263100","5.9","2012-03-16"
"56","6.99","7.05","6.96","7.02","6196900","5.92","2012-03-19"
"57","7.01","7.01","6.88","6.9","5197600","5.82","2012-03-20"
"58","6.9","7.05","6.9","7.02","8125000","5.92","2012-03-21"
"59","7.01","7.1","6.97","7","4592600","5.9","2012-03-22"
"60","6.98","7","6.92","6.96","4884100","5.87","2012-03-23"
"61","6.98","7.01","6.92","6.96","2268600","5.87","2012-03-26"
"62","6.96","7.05","6.95","6.95","3051900","5.86","2012-03-27"
"63","6.94","6.95","6.78","6.79","5902900","5.72","2012-03-28"
"64","6.77","6.84","6.65","6.67","4289800","5.62","2012-03-29"
"65","6.68","6.75","6.68","6.74","2340200","5.68","2012-03-30"
"66","6.74","6.74","6.74","6.74","0","5.68","2012-04-02"
"67","6.74","6.74","6.74","6.74","0","5.68","2012-04-03"
"68","6.74","6.74","6.74","6.74","0","5.68","2012-04-04"
"69","6.75","6.91","6.71","6.9","3271500","5.82","2012-04-05"
"70","6.9","6.93","6.85","6.88","2086900","5.8","2012-04-06"
"71","6.88","6.96","6.85","6.88","2723600","5.8","2012-04-09"
"72","6.85","6.97","6.78","6.96","2561600","5.87","2012-04-10"
"73","6.91","7.08","6.89","7.02","4425400","5.92","2012-04-11"
"74","7.03","7.08","7","7.08","4197000","5.97","2012-04-12"
"75","7.07","7.12","7.04","7.07","3088600","5.96","2012-04-13"
"76","7.04","7.08","7.01","7.01","2099700","5.91","2012-04-16"
"77","7.01","7.04","6.91","6.96","2434100","5.87","2012-04-17"
"78","6.96","7.11","6.95","7.1","5257900","5.99","2012-04-18"
"79","7.1","7.14","7.04","7.12","4334400","6","2012-04-19"
"80","7.11","7.14","7.05","7.09","4386800","5.98","2012-04-20"
"81","7.09","7.13","7.05","7.06","3258300","5.95","2012-04-23"
"82","7.03","7.13","6.96","7.08","4064300","5.97","2012-04-24"
"83","7.07","7.13","7.04","7.12","3737100","6","2012-04-25"
"84","7.12","7.14","7.06","7.08","1869200","5.97","2012-04-26"
"85","7.1","7.12","7","7.06","1669200","5.95","2012-04-27"
"86","7.06","7.06","7.06","7.06","0","5.95","2012-04-30"
"87","7.06","7.06","7.06","7.06","0","5.95","2012-05-01"
"88","7.12","7.26","7.12","7.2","7432400","6.07","2012-05-02"
"89","7.18","7.23","7.17","7.22","3053500","6.09","2012-05-03"
"90","7.18","7.37","7.18","7.33","6940500","6.18","2012-05-04"
"91","7.28","7.55","7.28","7.44","6928500","6.27","2012-05-07"
"92","7.44","7.47","7.37","7.39","4018900","6.23","2012-05-08"
"93","7.36","7.38","7.22","7.25","4322200","6.11","2012-05-09"
"94","7.25","7.34","7.25","7.3","1812400","6.15","2012-05-10"
"95","7.28","7.33","7.26","7.29","1326300","6.15","2012-05-11"
"96","7.34","7.35","7.27","7.32","2069100","6.17","2012-05-14"
"97","7.27","7.35","7.18","7.31","3282800","6.16","2012-05-15"
"98","7.27","7.32","7.2","7.23","1930400","6.1","2012-05-16"
"99","7.25","7.39","7.21","7.38","3216900","6.22","2012-05-17"
"100","7.33","7.43","7.25","7.28","4012100","6.14","2012-05-18"
"101","7.26","7.29","7.14","7.15","3361100","6.03","2012-05-21"
"102","7.19","7.27","7.18","7.23","2048400","6.1","2012-05-22"
"103","7.24","7.26","7.14","7.16","2043200","6.04","2012-05-23"
"104","7.15","7.19","7.06","7.1","3578600","5.99","2012-05-24"
"105","7.1","7.11","6.99","7.04","3194700","5.94","2012-05-25"
"106","7.03","7.12","6.97","7.11","1875700","5.99","2012-05-28"
"107","7.13","7.18","7.09","7.18","2755800","6.05","2012-05-29"
