"","601857.SS.Open","601857.SS.High","601857.SS.Low","601857.SS.Close","601857.SS.Volume","601857.SS.Adjusted"
"1",9.04,9.04,9.04,9.04,0,8.24
"2",9.04,9.04,9.04,9.04,0,8.24
"3",9.04,9.04,9.04,9.04,0,8.24
"4",9.04,9.08,8.99,9.05,28263000,8.25
"5",9.04,9.11,9.02,9.05,31092500,8.25
"6",9.05,9.14,8.99,9.02,26267800,8.22
"7",9.01,9.05,8.98,9.02,18547300,8.22
"8",9.02,9.04,8.96,9,24606500,8.21
"9",9,9.02,8.89,8.91,20338500,8.12
"10",8.9,9.04,8.86,9.03,28312300,8.23
"11",9.04,9.06,9,9.03,25468600,8.23
"12",9.04,9.04,8.91,8.97,33066400,8.18
"13",8.98,8.98,8.9,8.91,16353500,8.12
"14",8.95,9.03,8.92,9,19568100,8.21
"15",9.03,9.16,9.02,9.11,47783700,8.31
"16",9.11,9.11,8.98,9.01,41163800,8.22
"17",9.01,9.06,8.98,9.04,23857400,8.24
"18",9.03,9.14,9.01,9.04,43279200,8.24
"19",9.03,9.05,8.98,9,18392900,8.21
"20",9.01,9.1,8.99,9.07,32832500,8.27
"21",9.06,9.08,9.02,9.07,30865200,8.27
"22",9.07,9.36,9.04,9.35,98016000,8.53
"23",9.35,9.36,9.2,9.26,55937600,8.44
"24",9.24,9.39,9.16,9.29,48462800,8.47
"25",9.3,9.5,9.26,9.36,60838600,8.53
"26",9.3,9.38,9.24,9.32,41364400,8.5
"27",9.31,9.36,9.24,9.27,33957400,8.45
"28",9.27,9.29,9.22,9.26,30185600,8.44
"29",9.26,9.34,9.25,9.33,37965900,8.51
"30",9.33,9.33,9.33,9.33,0,8.51
"31",9.33,9.33,9.33,9.33,0,8.51
"32",9.33,9.33,9.33,9.33,0,8.51
"33",9.33,9.33,9.33,9.33,0,8.51
"34",9.33,9.33,9.33,9.33,0,8.51
"35",9.36,9.46,9.3,9.4,45684300,8.57
"36",9.39,9.43,9.25,9.28,31849200,8.46
"37",9.28,9.35,9.24,9.3,21681700,8.48
"38",9.27,9.27,9.04,9.05,35747700,8.25
"39",9.05,9.09,8.95,8.98,28898700,8.19
"40",9.03,9.08,8.99,9.01,18877300,8.22
"41",8.98,9,8.87,8.89,24652600,8.11
"42",8.89,8.99,8.88,8.96,20732100,8.17
"43",8.97,9.1,8.92,9.05,24470100,8.25
"44",9.05,9.06,8.98,9.01,16535500,8.22
"45",9.01,9.01,8.82,8.84,33854900,8.06
"46",8.84,8.93,8.76,8.86,25435600,8.08
"47",8.87,8.92,8.85,8.92,18108700,8.13
"48",8.92,8.93,8.8,8.85,28593900,8.07
"49",8.85,8.92,8.85,8.88,16599600,8.1
"50",8.86,8.91,8.83,8.88,9658100,8.1
"51",8.89,9.01,8.87,8.96,27136700,8.17
"52",8.95,8.98,8.84,8.86,21707800,8.08
"53",8.81,8.89,8.8,8.87,14502000,8.09
"54",8.85,8.95,8.83,8.92,22184400,8.13
"55",8.9,8.94,8.84,8.84,18208700,8.06
"56",8.89,8.9,8.82,8.89,13397700,8.11
"57",8.87,8.96,8.83,8.95,24525000,8.16
"58",8.95,8.95,8.91,8.93,17661400,8.14
"59",8.9,8.94,8.86,8.89,21185600,8.11
"60",8.92,8.98,8.91,8.93,24986900,8.14
"61",8.9,8.91,8.79,8.83,18549600,8.05
"62",8.84,8.88,8.8,8.82,12888600,8.04
"63",8.8,8.84,8.66,8.71,27915200,7.94
"64",8.71,8.74,8.66,8.69,11498200,7.92
"65",8.66,8.7,8.65,8.69,10172400,7.92
"66",8.69,8.77,8.67,8.73,10940700,7.96
"67",8.74,8.77,8.7,8.72,9345100,7.95
"68",8.72,8.72,8.72,8.72,0,7.95
"69",8.72,8.72,8.72,8.72,0,7.95
"70",8.67,8.67,8.56,8.61,16355500,7.85
"71",8.63,8.65,8.6,8.61,9881300,7.85
"72",8.62,8.77,8.59,8.65,15823600,7.89
"73",8.7,8.71,8.61,8.63,8373100,7.87
"74",8.62,8.74,8.59,8.63,14521500,7.87
"75",8.6,8.66,8.49,8.52,17823400,7.77
"76",8.51,8.55,8.45,8.53,12520400,7.78
"77",8.54,8.55,8.5,8.52,8652700,7.77
"78",8.5,8.58,8.46,8.48,17626000,7.73
"79",8.51,8.57,8.5,8.56,22611100,7.81
"80",8.54,8.58,8.52,8.57,13237300,7.81
"81",8.56,8.57,8.46,8.47,14391900,7.72
"82",8.49,8.53,8.45,8.51,12959500,7.76
"83",8.5,8.55,8.46,8.52,13210300,7.77
"84",8.52,8.55,8.47,8.48,14074800,7.73
"85",8.48,8.48,8.48,8.48,0,7.73
"86",8.48,8.48,8.48,8.48,0,7.73
"87",8.48,8.48,8.48,8.48,0,7.73
